2026-04-10 12:30:55,039 | agent | WARNING | Ollama chat failed: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/chat (Caused by NewConnectionError("HTTPConnection(host='localhost', port=11434): Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it"))
2026-04-10 12:30:55,039 | memory | INFO | Saved conversation history with 1 messages
2026-04-10 12:30:55,039 | memory | INFO | Saved conversation history with 2 messages
2026-04-10 12:31:46,664 | agent | WARNING | Ollama chat failed: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/chat (Caused by NewConnectionError("HTTPConnection(host='localhost', port=11434): Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it"))
2026-04-10 12:31:46,668 | memory | INFO | Saved conversation history with 3 messages
2026-04-10 12:31:46,670 | memory | INFO | Saved conversation history with 4 messages
2026-04-10 12:33:12,094 | memory | INFO | Saved conversation history with 5 messages
2026-04-10 12:33:12,094 | memory | INFO | Saved conversation history with 6 messages
2026-04-10 12:33:32,228 | memory | INFO | Saved conversation history with 7 messages
2026-04-10 12:33:32,228 | memory | INFO | Saved conversation history with 8 messages
2026-04-10 12:33:53,387 | agent | INFO | Ran tool 'open_url' with input 'https://www.youtube.com/watch?v=VIDEO_ID_HERE (replace VIDEO_ID_HERE with the actual ID of the video you want to play)'
2026-04-10 12:34:03,711 | memory | INFO | Saved conversation history with 9 messages
2026-04-10 12:34:03,715 | memory | INFO | Saved conversation history with 10 messages
2026-04-10 12:34:18,138 | memory | INFO | Saved conversation history with 11 messages
2026-04-10 12:34:18,139 | memory | INFO | Saved conversation history with 12 messages
2026-04-10 12:40:34,615 | memory | INFO | Saved conversation history with 13 messages
2026-04-10 12:40:34,615 | memory | INFO | Saved conversation history with 14 messages
2026-04-10 12:42:11,628 | agent | INFO | Ran tool 'open_spotify' with input ''
2026-04-10 12:42:17,194 | memory | INFO | Saved conversation history with 15 messages
2026-04-10 12:42:17,195 | memory | INFO | Saved conversation history with 16 messages
2026-04-10 12:43:31,085 | memory | INFO | Saved conversation history with 17 messages
2026-04-10 12:43:31,088 | memory | INFO | Saved conversation history with 18 messages
2026-04-10 12:44:22,728 | agent | INFO | Ran tool 'open_spotify' with input ''
2026-04-10 12:44:35,344 | memory | INFO | Saved conversation history with 19 messages
2026-04-10 12:44:35,353 | memory | INFO | Saved conversation history with 20 messages
2026-04-10 12:45:13,560 | agent | INFO | Ran tool 'open_spotify' with input ''
2026-04-10 12:45:21,875 | memory | INFO | Saved conversation history with 20 messages
2026-04-10 12:45:21,875 | memory | INFO | Saved conversation history with 20 messages
2026-04-10 12:48:54,919 | agent | WARNING | Model returned invalid tool 'PLAY SPOTIFY' for request: play song
2026-04-10 12:48:57,182 | agent | INFO | Ran tool 'play_youtube' with input 'song'
